train_number start end departure_time arrival_time first_class second_class
2123 2 3 700 740 4 58
2123 3 4 743 838 14 328
2127 1 2 648 755 47 340
2127 2 3 801 841 35 272
2127 3 4 843 938 19 181
2131 1 2 755 858 100 616
2131 2 3 902 941 52 396
2131 3 4 943 1038 27 270
2135 1 2 856 958 61 407
2135 2 3 1003 1043 41 364
2135 3 4 1045 1138 27 237
2139 1 2 956 1058 41 336
2139 2 3 1102 1141 26 240
2139 3 4 1143 1238 24 208
2143 1 2 1056 1158 31 282
2143 2 3 1203 1241 25 221
2143 3 4 1243 1338 32 188 
2147 1 2 1156 1258 46 287
2147 2 3 1302 1341 27 252
2147 3 4 1343 1438 15 180
2151 1 2 1256 1358 42 297 
2151 2 3 1402 1441 27 267
2151 3 4 1443 1538 21 195
2155 1 2 1356 1458 33 292
2155 2 3 1502 1541 28 287
2155 3 4 1543 1638 23 290
2159 1 2 1456 1558 39 378
2159 2 3 1600 1643 52 497
2159 3 4 1645 1740 41 388
2163 1 2 1556 1658 84 527
2163 2 3 1701 1743 113 749
2163 3 4 1745 1840 76 504
2167 1 2 1656 1758 109 616
2167 2 3 1801 1842 98 594
2167 3 4 1844 1939 67 381
2171 1 2 1756 1858 78 563
2171 2 3 1902 1941 51 395
2171 3 4 1943 2038 43 276
2175 1 2 1856 1958 44 320
2175 2 3 2002 2041 29 254
2175 3 4 2043 2138 20 187
2179 1 2 1956 2058 28 184
2179 2 3 2102 2141 22 165
2179 3 4 2143 2238 15 136
2183 1 2 2056 2158 21 161
2183 2 3 2202 2241 13 130
2187 1 2 2156 2258 28 190
2187 2 3 2302 2354 8   77
2191 1 2 2256 2358 10 123
2108 2 1  531  639 7 61
2112 3 2  529  628 16 167
2112 2 1 629  738  26 230
2116 4 3 530 635  28 138
2116 3 2 643 726 88 449
2116 2 1 732 838 106 586
2120 4 3 654 748 100 448
2120 3 2 752 832 134 628
2120 2 1 835 940 105 545
2124 4 3 756 850 48 449
2124 3 2 853 932 57 397
2124 2 1 934 1038 56 427 
2128 4 3 856 950 57 436
2128 3 2 953 1032 71 521
2128 2 1 1034 1138 75 512
2132 4 3 956 1050 24 224
2132 3 2 1053 1132 34 281
2132 2 1 1134 1238 47 344
2136 4 3 1056 1150 19 177
2136 3 2 1153 1232 26 214
2136 2 1 1234 1338 36 303
2140 4 3 1156 1250 19 184
2140 3 2 1253 1332 22 218
2140 2 1 1335 1438 32 283
2144 4 3 1256 1350 17 181
2144 3 2 1353 1432 21 174
2144 2 1 1435 1538 34 330
2148 4 3 1356 1450 19 165
2148 3 2 1453 1532 25 206
2148 2 1 1534 1640 39 338
2152 4 3 1456 1550 22 225
2152 3 2 1553 1632 35 298
2152 2 1 1634 1738 67 518
2156 4 3 1556 1650 39 332
2156 3 2 1653 1733 51 422
2156 2 1 1735 1838 74 606
2160 4 3 1656 1750 30 309
2160 3 2 1753 1832 32 313
2160 2 1 1834 1938 37 327
2164 4 3 1756 1850 19 164
2164 3 2 1853 1932 20 156
2164 2 1 1934 2038 23 169
2168 4 3 1856 1950 15 142
2168 3 2 1953 2032 14 155
2168 2 1 2035 2138 18 157
2172 4 3 1955 2049 11 121
2172 3 2 2052 2130 14 130
2172 2 1 2132 2238 17 154
2176 3 2 2153 2232 7 64
2176 2 1 2234 2338 11 143
