train_number from to departure_time arrival_time first_class second_class
2123 2 3 700 740 3 34
2123 3 4 743 838 11 196
2127 1 2 648 755 38 204
2127 2 3 801 841 28 163
2127 3 4 843 938 15 108
2131 1 2 755 858 82 369
2131 2 3 902 941 42 237
2131 3 4 943 1038 21 162
2135 1 2 856 958 50 244
2135 2 3 1003 1043 33 218
2135 3 4 1045 1138 21 142
2139 1 2 956 1058 33 201
2139 2 3 1102 1141 21 144
2139 3 4 1143 1238 19 124
2143 1 2 1056 1158 25 169
2143 2 3 1203 1241 20 132
2143 3 4 1243 1338 26 112
2147 1 2 1156 1258 37 172
2147 2 3 1302 1341 21 151
2147 3 4 1343 1438 12 108
2151 1 2 1256 1358 34 178
2151 2 3 1402 1441 21 160
2151 3 4 1443 1538 17 117
2155 1 2 1356 1458 27 175
2155 2 3 1502 1541 22 172
2155 3 4 1543 1638 18 174
2159 1 2 1456 1558 31 226
2159 2 3 1600 1643 42 298
2159 3 4 1645 1740 33 232
2163 1 2 1556 1658 69 316
2163 2 3 1701 1743 93 449
2163 3 4 1745 1840 62 302
2167 1 2 1656 1758 89 369
2167 2 3 1801 1842 80 356
2167 3 4 1844 1939 54 228
2171 1 2 1756 1858 63 337
2171 2 3 1902 1941 42 237
2171 3 4 1943 2038 35 165
2175 1 2 1856 1958 36 192
2175 2 3 2002 2041 23 152
2175 3 4 2043 2138 16 112
2179 1 2 1956 2058 22 110
2179 2 3 2102 2141 18 99
2179 3 4 2143 2238 12 81
2183 1 2 2056 2158 17 96
2183 2 3 2202 2241 10 78
2187 1 2 2156 2258 22 114
2187 2 3 2302 2354 6 46
2191 1 2 2256 2358 8 73
2108 2 1 531 639 5 36
2112 3 2 529 628 12 100
2112 2 1 629 738 21 138
2116 4 3 530 635 22 82
2116 3 2 643 726 72 269
2116 2 1 732 838 87 351
2120 4 3 654 748 82 268
2120 3 2 752 832 110 376
2120 2 1 835 940 86 327
2124 4 3 756 850 39 269
2124 3 2 853 932 46 238
2124 2 1 934 1038 45 256
2128 4 3 856 950 46 261
2128 3 2 953 1032 58 312
2128 2 1 1034 1138 61 307
2132 4 3 956 1050 19 134
2132 3 2 1053 1132 27 168
2132 2 1 1134 1238 38 206
2136 4 3 1056 1150 15 106
2136 3 2 1153 1232 21 128
2136 2 1 1234 1338 29 181
2140 4 3 1156 1250 15 110
2140 3 2 1253 1332 18 130
2140 2 1 1335 1438 26 169
2144 4 3 1256 1350 13 108
2144 3 2 1353 1432 17 104
2144 2 1 1435 1538 27 198
2148 4 3 1356 1450 15 99
2148 3 2 1453 1532 20 123
2148 2 1 1534 1640 31 202
2152 4 3 1456 1550 18 135
2152 3 2 1553 1632 28 178
2152 2 1 1634 1738 54 310
2156 4 3 1556 1650 31 199
2156 3 2 1653 1733 42 253
2156 2 1 1735 1838 60 363
2160 4 3 1656 1750 24 185
2160 3 2 1753 1832 26 187
2160 2 1 1834 1938 30 196
2164 4 3 1756 1850 15 98
2164 3 2 1853 1932 16 93
2164 2 1 1934 2038 18 101
2168 4 3 1856 1950 12 85
2168 3 2 1953 2032 11 93
2168 2 1 2035 2138 14 94
2172 4 3 1955 2049 9 72
2172 3 2 2052 2130 11 78
2172 2 1 2132 2238 13 92
2176 3 2 2153 2232 5 38
2176 2 1 2234 2338 9 85
